K,Variance,PSNR
15,0.9999376111559243,52.97292703710134
20,0.9999999999999998,310.03765253251044
25,0.9999999999999998,309.9925077055429
5,0.9406035768247953,24.85076103566822
10,0.9988315770086028,41.91236302201338
15,1.0,311.4923456023846
20,1.0,311.4427552651707
25,1.0,311.3969504249842
5,0.9302176154755039,22.492100087351474
10,0.9913275096800431,31.548119905548404
15,1.0,309.01046025971914
20,1.0,308.96068253148366
25,1.0,308.91146888366
5,0.9745323409082904,29.972454520761392
10,1.0,309.960986874377
15,1.0,309.9332744108103
20,1.0,309.907563684928
25,1.0,309.8820042740959
5,0.8408048490221797,18.941184328233348
10,0.9901898808692572,31.04373986649875
15,0.9995166983644076,44.11830003102694
20,0.9999999999999998,308.6892486865909
25,0.9999999999999998,308.65888710000434
5,0.9539446248275552,23.627933712809998
10,0.995180591392516,33.43079946776292
15,1.0000000000000002,310.0245944340037
20,1.0000000000000002,309.9272086032225
25,1.0000000000000002,309.8388877168486
5,0.9617448030183204,27.29903378943478
10,0.9990198676449501,43.213090956130785
15,0.9999999999999998,314.48723895446676
20,0.9999999999999998,314.3546531006912
25,0.9999999999999998,314.2259953384822
5,0.8999994607391236,21.911384592361767
10,0.9937321807444668,33.94024336938798
15,0.9997716718130668,48.32581273101832
20,1.0,310.4557426696963
25,1.0,310.4021719158627
5,1.0,314.2607450902028
10,1.0,314.2033834810099
15,1.0,314.1467696381051
20,1.0,314.0908843163276
25,1.0,314.03570900405236
5,0.9359438912995813,23.662849877003925
10,0.9971431428165448,37.16957009977329
15,1.0,311.48975724913146
20,1.0,311.4136146372221
25,1.0,311.3387840248779
5,0.9616426632807054,26.012659743652364
10,0.9963264321819922,36.200263575666256
15,1.0,307.87642665977523
20,1.0,307.8422149995203
25,1.0,307.8082707374408
5,0.9444638410723551,22.948569287465496
10,0.9944473549925565,32.94932858916446
15,0.9998740764068061,49.393256602332734
20,1.0000000000000002,308.260671551316
25,1.0000000000000002,308.2217107084765
5,0.9354324202970327,23.29604242881171
10,0.9942328881466654,33.78660375540062
15,0.9998341208609599,49.19826977603585
20,0.9999999999999998,307.2836284936504
25,0.9999999999999998,307.2540198612547
5,0.9722497914520266,28.232615599365374
10,0.9990756671484652,43.006994227243396
15,0.9999999999999999,310.36174781515257
20,0.9999999999999999,310.3324776446828
25,0.9999999999999999,310.3034034266264
5,0.9703016761181362,27.763129593900565
10,0.9993976590268838,44.69202492382634
15,1.0,310.2308090413811
20,1.0,310.196153079998
25,1.0,310.1617714793874
5,0.9180397486285626,22.190726541201112
10,0.9935423638923969,33.22602367261951
15,0.9999720783944313,56.86735548038808
20,1.0,309.69496427743974
25,1.0,309.6444185612303
5,0.9644520805422208,26.254672295576754
10,0.9978132971812985,38.36491652295657
15,1.0000000000000002,310.2503575908589
20,1.0000000000000002,310.19796246872977
25,1.0000000000000002,310.1461919356809
5,0.9626649284646545,24.520567587393703
10,0.9966550711545998,34.99786862803812
15,0.9999536143030083,53.57789659834661
20,1.0,297.1726792987621
25,1.0,297.1694075615921
5,0.9686700922954058,24.91120407995579
10,0.9960916370632414,33.95084637291052
15,0.999981285745892,57.1490700131288
20,1.0,309.36891905104443
25,1.0,309.26478510829475
5,0.9072855846507392,21.387214118854722
10,0.9911896526382125,31.60875644418503
15,0.9998566373836728,49.49432757768377
20,1.0,306.49818560969123
25,1.0,306.47511674889483
5,0.9616750139136104,26.63855747406734
10,0.9987349784986367,41.452398460589094
15,1.0,314.55246949194094
20,1.0,314.44772731716836
25,1.0,314.34032683211734
5,0.8951636505348665,21.2397109721632
10,0.9911959892505355,31.99802422924885
15,0.9998482427398677,49.633335099896875
20,1.0000000000000002,313.06149580045
25,1.0000000000000002,312.98859718064784
5,0.9158027362375734,22.331418577410112
10,0.9961878851267352,35.77273856715298
15,0.9999671845280573,56.42361181255603
20,1.0000000000000002,308.7442167984115
25,1.0000000000000002,308.7128939821887
5,0.9368678968267015,23.1361049092773
10,0.9950393525758792,34.18322387676694
15,0.9999999999999999,308.4466222844566
20,0.9999999999999999,308.39764516111177
25,0.9999999999999999,308.35489360163183
5,0.9763852716846037,26.66398395927169
10,0.9972333900652115,35.97633417222552
15,0.9999134156668188,51.021420327334035
20,0.9999999999999998,311.31667658586696
25,0.9999999999999998,311.2301528766848
5,0.9119996471929672,21.678707524933188
10,0.991091479326203,31.62549573609769
15,0.9996874083728091,46.17377824598199
20,1.0000000000000002,307.86557086871915
25,1.0000000000000002,307.8348880442815
5,0.9670190550740247,25.72178195762236
10,0.9964966037978796,35.45952035238909
15,0.9999743767835697,56.818076451392734
20,1.0,306.0924489810173
25,1.0,306.0663370087551
5,0.9254645739469131,22.17715262771234
10,0.9930436432294646,32.47696153502289
15,0.9993082453292361,42.501259008548466
20,0.9999999999999999,310.655754314309
25,0.9999999999999999,310.5664392161443
5,0.9888232937947898,34.28025715602871
10,0.9999999458673143,87.4287997608804
15,1.0,316.90013608216657
20,1.0,316.75839581130015
25,1.0,316.6178948779779
5,0.9330623790633831,23.01223445472868
10,0.9956711809781436,34.905242889704915
15,0.9999999999999999,309.9118032382462
20,0.9999999999999999,309.8546575496797
25,0.9999999999999999,309.798254044852
5,0.9262079390028749,22.934632322339827
10,0.9968966265992405,36.69638839062074
15,0.9999999999999998,307.6862362811871
20,0.9999999999999998,307.66101979922774
25,0.9999999999999998,307.6359488871511
5,0.9533104495613375,23.529522357580994
10,0.9977850083408284,36.767998328303435
15,1.0000000000000002,310.30577947141956
20,1.0000000000000002,310.23144560987134
25,1.0000000000000002,310.15836266631294
5,0.9684658609045389,27.88916851690846
10,0.9992633319023914,44.20425968069901
15,1.0000000000000002,308.99234249975007
20,1.0000000000000002,308.96571981126806
25,1.0000000000000002,308.93925932871
5,0.9198793906795246,22.112109596604903
10,0.9958143131853321,34.931884730870024
15,0.9999194984471284,52.09150945150771
20,0.9999999999999999,309.9945909523207
25,0.9999999999999999,309.9478525422289
5,0.9723807025455471,28.03454721516843
10,0.9995358975333712,45.7805347222438
15,1.0,314.80439475174023
20,1.0,314.67472387288797
25,1.0,314.54881269881935
5,0.9564136012263689,27.68478923953277
10,0.9999542041054953,57.470033656057694
15,1.0,311.69264954638254
20,1.0,311.6679439764172
25,1.0,311.6433781536294
5,0.9780093943733444,29.449719210167764
10,0.9997648764584406,49.15912996423397
